invoice_date,original_amount_due,current_balance,payor,express_or_ground_tracking_id,transportation_charge_amount,net_charge_amount,service_type,ground_service,shipment_date,pod_delivery_date,pod_delivery_time,actual_weight_amount,actual_weight_units,rated_weight_amount,rated_weight_units,number_of_pieces,service_packaging,dim_length,dim_width,dim_height,dim_divisor,dim_unit,recipient_zip_code,recipient_country/territory,original_recipient_address_line_1,original_recipient_city,original_recipient_state,original_recipient_zip_code,original_recipient_country/territory,zone_code,currency_conversion_date,multiweight_number,multiweight_total_multiweight_units,multiweight_total_multiweight_weight,multiweight_total_shipment_charge_amount,multiweight_total_shipment_weight,delivery_confirmation,tendered_date,tracking_id_charge_description,tracking_id_charge_amount,tracking_id_charge_description_1,tracking_id_charge_amount_1,tracking_id_charge_description_2,tracking_id_charge_amount_2
2024-03-05,3425.68,0,Shipper,271426000374,24.13,21.55,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,25.9,lbs,26,lbs,1,Customer Packaging,19,16,13,225,I,284093214,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,4,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,2.97,Residential,5.55,Performance Pricing,-11.1
2024-03-05,3425.68,0,Shipper,271426004623,23.06,20.88,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,23.3,lbs,24,lbs,1,Customer Packaging,19,15,13,225,I,284093214,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,4,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,2.88,Residential,5.55,Performance Pricing,-10.61
2024-03-05,3425.68,0,Shipper,271426004792,23.06,20.88,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,23.3,lbs,24,lbs,1,Customer Packaging,19,15,13,225,I,284093214,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,4,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,2.88,Residential,5.55,Performance Pricing,-10.61
2024-03-05,3425.68,0,Shipper,271426009371,24.61,21.86,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,26.3,lbs,27,lbs,1,Customer Packaging,19,16,13,225,I,284093214,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,4,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.02,Residential,5.55,Performance Pricing,-11.32
2024-03-05,3425.68,0,Shipper,271426010640,23.16,20.95,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,24.8,lbs,25,lbs,1,Customer Packaging,19,15,13,225,I,284093214,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,4,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,2.89,Residential,5.55,Performance Pricing,-10.65
2024-03-05,3425.68,0,Shipper,271426111180,30.85,25.77,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,28.3,lbs,29,lbs,1,Customer Packaging,22,18,15,225,I,327247664,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.56,Residential,5.55,Performance Pricing,-14.19
2024-03-05,3425.68,0,Shipper,271426114400,27.21,23.48,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,23.7,lbs,24,lbs,1,Customer Packaging,19,16,12,225,I,327247664,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.24,Residential,5.55,Performance Pricing,-12.52
2024-03-05,3425.68,0,Shipper,271426116387,35.46,27.83,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,34.0,lbs,34,lbs,1,Customer Packaging,22,21,15,225,I,327247664,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.84,Residential,5.55,Performance Pricing,-17.02
2024-03-12,4633.44,0,Shipper,271426190971,51.23,38.53,Ground,"Prepaid, Domestic",2024-02-28,20240304.0,12:00,27.2,lbs,28,lbs,1,Customer Packaging,19,16,12,225,I,927076786,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,8,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,5.32,Residential,5.55,Performance Pricing,-23.57
2024-03-12,4633.44,0,Shipper,271426232824,48.53,36.84,Ground,"Prepaid, Domestic",2024-02-28,20240305.0,12:00,25.5,lbs,26,lbs,1,Customer Packaging,19,16,12,225,I,890028233,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,8,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,5.08,Residential,5.55,Performance Pricing,-22.32
2024-03-05,3425.68,0,Shipper,271426284843,32.07,26.53,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,30.0,lbs,30,lbs,1,Customer Packaging,22,20,15,225,I,335793930,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.66,Residential,5.55,Performance Pricing,-14.75
2024-03-05,3425.68,0,Shipper,271426330559,30.85,34.7,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,28.9,lbs,29,lbs,1,Customer Packaging,19,16,12,225,I,384622559,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,4.79,Residential,5.55,Performance Pricing,-14.19
2024-03-05,3425.68,0,Shipper,271426392914,30.85,25.77,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,29.0,lbs,29,lbs,1,Customer Packaging,19,16,12,225,I,301262543,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.56,Residential,5.55,Performance Pricing,-14.19
2024-03-05,3425.68,0,Shipper,271426395041,30.85,25.77,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,28.9,lbs,29,lbs,1,Customer Packaging,19,16,12,225,I,301262543,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,5,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.56,Residential,5.55,Performance Pricing,-14.19
2024-03-13,10484.44,0,Shipper,271426449229,22.07,30.98,Ground,"Prepaid, Domestic",2024-02-28,20240306.0,12:00,8.8,lbs,9,lbs,1,Customer Packaging,12,12,12,225,I,983295826,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,8,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,4.27,Residential,5.55,Performance Pricing,-8.61
2024-03-05,3425.68,0,Shipper,271426504248,26.77,23.21,Ground,"Prepaid, Domestic",2024-02-28,20240301.0,12:00,28.6,lbs,30,lbs,1,Customer Packaging,22,20,15,225,I,430169051,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,4,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,3.2,Residential,5.55,Performance Pricing,-12.31
2024-03-05,3425.68,0,Shipper,271426580239,20.56,19.32,Ground,"Prepaid, Domestic",2024-02-28,20240229.0,12:00,29.8,lbs,30,lbs,1,Customer Packaging,21,21,15,225,I,197131817,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,2,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,2.67,Residential,5.55,Performance Pricing,-9.46
2024-03-12,4633.44,0,Shipper,271426630454,56.53,40.54,Ground,"Prepaid, Domestic",2024-02-28,20240305.0,12:00,31.0,lbs,31,lbs,1,Customer Packaging,19,16,12,225,I,852045818,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,8,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,5.59,Residential,5.55,Performance Pricing,-27.13
2024-03-12,4633.44,0,Shipper,271426690471,73.18,50.58,Ground,"Prepaid, Domestic",2024-02-28,20240304.0,12:00,43.6,lbs,44,lbs,1,Customer Packaging,22,18,15,225,I,799366349,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,8,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,6.98,Residential,5.55,Performance Pricing,-35.13
2024-03-12,4633.44,0,Shipper,271426749282,52.6,39.38,Ground,"Prepaid, Domestic",2024-02-28,20240303.0,12:00,28.5,lbs,29,lbs,1,Customer Packaging,19,16,12,225,I,981481871,US,4700 WISSAHICKON AVE,Philadelphia,PA,19144,US,8,20240228,0,0,0,0,0,P,2024-02-28,Fuel Surcharge,5.43,Residential,5.55,Performance Pricing,-24.2
